"Description","Price"
"  (20)
Compare
Linux with keyboard, mouse, VESA bracket and stand
ASUS Eee Box EB1007-B0410 Nettop Intel Atom D410(1.66GHz) 1GB DDR2 250GB HDD Capacity Intel GMA 3150 Linux
 Intel Atom D410(1.66GHz)...
 1GB DDR2 250GB HDD Capac...
 Intel GMA 3150
was: $239.99
now:
$219.99
Free Shipping","$219.99"
"  (1)
Compare
Acer Veriton VN281G-UA425L (PS.VBG0C.001) Nettop Intel Atom D425(1.80GHz) 2GB DDR3 320GB HDD Capacity Intel GMA 3150 Linpus Linux
 Intel Atom D425(1.80GHz)...
 2GB DDR3 320GB HDD Capac...
 Intel GMA 3150
was: $279.00
now:
$269.00
Free Shipping","$269.00"
"  (1)
Compare
COMPAQ 100B (XZ846UT#ABA) Desktop PC AMD Dual-Core Processor E-350(1.6GHz) 2GB DDR3 500GB HDD Capacity AMD Radeon HD 6310 Windows 7 Professional 64-bit
 AMD Dual-Core Processor ...
 2GB DDR3 500GB HDD Capac...
 AMD Radeon HD 6310
was: $359.99
now:
$269.99
Free Shipping","$269.99"
"  (5)
Compare
eMachines EL1358-53 Desktop PC Athlon II X2 220(2.80GHz) 3GB DDR3 1TB HDD Capacity NVIDIA GeForce 6150 SE Windows 7 Home Premium 64-bit
 Athlon II X2 220(2.80GHz...
 3GB DDR3 1TB HDD Capacit...
 NVIDIA GeForce 6150 SE
was: $354.99
now:
$289.99
Free Shipping","$289.99"
"  (5)
Compare
HP 500B (VS875UT#ABA) Desktop PC Pentium dual-core E5700(3.00GHz) 1GB DDR3 160GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-bit
 Pentium dual-core ...
 1GB DDR3 160GB HDD Capac...
 Intel GMA 4500
was: $419.99
now:
$299.99
$9.99 Shipping","$299.99"
"  (1)
Compare
COMPAQ Presario CQ5810 (QN656AA#ABA) Desktop PC AMD Dual-Core Processor E-350(1.6GHz) 2GB DDR3 500GB HDD Capacity AMD Radeon HD 6310 Windows 7 Home Premium 64-bit
 AMD Dual-Core Processor ...
 2GB DDR3 500GB HDD Capac...
 AMD Radeon HD 6310
now:
$299.99
Free Shipping","$299.99"
"  (4)
Compare
Multi-functional compact PC w/ keyboard
lenovo IdeaCentre Q150 (40812GU) Nettop Intel Atom D525(1.80GHz) 2GB DDR3 250GB HDD Capacity NVIDIA ION graphics Windows 7 Home Premium 64-bit
 Intel Atom D525(1.80GHz)...
 2GB DDR3 250GB HDD Capac...
 NVIDIA ION graphics
was: $319.99
now:
$309.99
Free Shipping","$309.99"
"  (3)
Compare
Acer Veriton VX275-UD5800W (PS.VAM03.032) Desktop PC Pentium E5800(3.20GHz) 2GB DDR3 320GB HDD Capacity Intel GMA X4500 Windows 7 Professional 32-bit/64-bit
 Pentium E5800(3.20GHz)
 2GB DDR3 320GB HDD Capac...
 Intel GMA X4500
was: $399.99
now:
$309.99
Free Shipping","$309.99"
"Compare
eMachines EL1358-51 (PT.NCQP2.001) Desktop PC Athlon II 170u(2.0GHz) 2GB DDR3 500GB HDD Capacity NVIDIA GeForce 6150 SE Windows 7 Home Premium 64-bit
 Athlon II 170u(2.0GHz)
 2GB DDR3 500GB HDD Capac...
 NVIDIA GeForce 6150 SE
now:
$321.66
Free Shipping","$321.66"
"  (9)
Compare
HP 500B (VS876UT#ABA) Desktop PC Pentium dual-core E5700(3.00GHz) 2GB DDR3 320GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-bit
 Pentium dual-core ...
 2GB DDR3 320GB HDD Capac...
 Intel GMA 4500
was: $449.99
now:
$324.99
$9.99 Shipping","$324.99"
